CODCALLE,TEXTO,CAPACIDAD,UTM_X,UTM_Y,NOTAS,TIPO
20171,CALLE FERNANDO AROZENA QUINTERO,3000.0,375819.250285,3148274.61571,,Papel_Carton
42835,CALLE ANTONIO LECUONA HARDISSON,3000.0,375238.614395,3147608.63668,,Papel_Carton
42955,CALLE JUAN DE AVILA,3000.0,375260.181223,3147780.2796,,Papel_Carton
42932,CALLE JOSE MALDONADO DUGOUR,3000.0,375096.777001,3147727.07,,Papel_Carton
43057,CALLE FERNANDO BEAUTELL,3000.0,374966.39,3147570.49784,,Papel_Carton
42576,CALLE POETA GUTIERREZ ALBELO,3000.0,375560.443669,3148239.48344,,Papel_Carton
45377,CALLE CARACAS,3000.0,375759.958705,3148464.87344,,Papel_Carton
42367,CALLE IZQUIERDO AZCARATE,3000.0,375506.335427,3148710.12571,,Papel_Carton
45772,CALLE LOS SAUCES,3000.0,375272.95,3148745.94,,Papel_Carton
42793,CALLE GANDHI,3000.0,375074.109766,3148150.24527,,Papel_Carton
44103,CALLE DULCE MARIA LOINAZ,3000.0,375222.335327,3148390.01556,,Papel_Carton
45675,CALLE CHIGUERGUE,3000.0,374592.534118,3148661.46558,,Papel_Carton
45675,CALLE CHIGUERGUE,3000.0,374547.302824,3148684.32993,,Papel_Carton
10497,CALLE PINTOR JOSE AGUIAR,3000.0,377379.143562,3150458.24795,,Papel_Carton
82507,CALLE RAMON BAUDET GRANDY,3000.0,377006.602701,3150596.63491,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376983.659296,3150661.03896,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376918.983933,3151275.06272,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376835.008336,3151225.77753,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376802.976262,3151340.80272,,Papel_Carton
40821,CTRA LOS CAMPITOS,3000.0,376368.541361,3151699.42471,,Papel_Carton
30641,CALLE DOCTOR GONZALEZ COVIELLA,3000.0,377075.94447,3150535.15158,,Papel_Carton
30092,AVDA VEINTICINCO DE JULIO,3000.0,377106.14286,3150390.89957,,Papel_Carton
11141,CALLE ROBAYNA,3000.0,377178.514422,3149684.72051,,Papel_Carton
43982,CALLE ESTANISLAO BROTONS POVEDA,3000.0,374506.871315,3148605.14921,,Papel_Carton
44567,CALLE AMERICO LOPEZ MENDEZ,3000.0,374552.641401,3148545.26917,,Papel_Carton
82047,CALLE IGUESTE,3000.0,374309.805818,3148580.48099,,Papel_Carton
43966,CALLE DOMINGO SALAZAR COLOGAN,3000.0,374359.61562,3148670.25283,,Papel_Carton
43966,CALLE DOMINGO SALAZAR COLOGAN,3000.0,374362.586553,3148713.1102,,Papel_Carton
43854,CALLE ELIAS BACALLADO,3000.0,374278.011843,3148778.94447,,Papel_Carton
31691,CALLE JOSE GUEZALA BIGNORY,3000.0,374373.942799,3148843.84443,,Papel_Carton
43386,CALLE SARGENTO PROVISIONAL,3000.0,373825.133438,3147887.99158,,Papel_Carton
43765,CALLE HERMANO PEDRO,3000.0,374030.51,3147841.05,,Papel_Carton
